['Chindia Targoviste - AFC Hermannstadt'],39%,2.6 2.95 3.95,2022-07-18T17:58:38.099759,2022-07-18T17:58:38.099759,0.0
['Bot.Plovdiv - Apoel Nicosia Tur'],39%,3.5 3.45 3.6,2022-07-18T17:58:38.101760,2022-07-18T17:58:38.101760,0.0
['Bot.Plovdiv - Apoel Nicosia Tur'],39%,3.5 3.25 3.65,2022-07-18T17:58:38.102760,2022-07-18T17:58:38.102760,0.0
['Omonia Nicosia Hapoel Haifa FC'],39%,3.5 3.45 3.6,2022-07-18T17:58:38.103760,2022-07-18T17:58:38.103760,0.0
['Franta - Austria'],39%,6.75 4.8 7.5,2022-07-18T17:58:38.105759,2022-07-18T17:58:38.105759,0.0
['Franta - Austria'],39%,7.0 4.6 7.5,2022-07-18T17:58:38.106759,2022-07-18T17:58:38.106759,0.0
['Franta - Austria'],39%,7.0 4.85 6.75,2022-07-18T17:58:38.107759,2022-07-18T17:58:38.107759,0.0
"['A. Klagenfurt', 'Southampton']",39%,6.75 4.8 7.5,2022-07-18T17:58:38.108759,2022-07-18T17:58:38.108759,0.0
"['A. Klagenfurt', 'Southampton']",39%,7.0 4.6 7.5,2022-07-18T17:58:38.109760,2022-07-18T17:58:38.109760,0.0
"['Botosani', 'Chindia Targ.']",39%,2.78 3.05 4.0,2022-07-18T17:58:38.110760,2022-07-18T17:58:38.110760,0.0
"['Botosani', 'Chindia Targ.']",39%,2.8 3.0 4.0,2022-07-18T17:58:38.112545,2022-07-18T17:58:38.112545,0.0
"['Petrolul', 'Voluntari']",39%,2.6 3.15 3.9,2022-07-18T17:58:38.114553,2022-07-18T17:58:38.114553,0.0
"['Petrolul', 'Voluntari']",39%,2.6 3.1 3.5,2022-07-18T17:58:38.115631,2022-07-18T17:58:38.115631,0.0
['FC Botosani AFC Chindia Targoviste'],39%,2.6 3.0 3.6,2022-07-18T17:58:38.116639,2022-07-18T17:58:38.116639,0.0
['FC Petrolul Ploiesti FC Voluntari'],39%,2.5 3.15 3.9,2022-07-18T17:58:38.117629,2022-07-18T17:58:38.117629,0.0
['FC Botoşani Chindia Târgovişte'],39%,2.6 3.0 4.0,2022-07-18T17:58:38.118632,2022-07-18T17:58:38.118632,0.0
['FC Botoşani Chindia Târgovişte'],39%,2.45 3.1 4.0,2022-07-18T17:58:38.119588,2022-07-18T17:58:38.119588,0.0
['U Craiova 1948 SA CFR Cluj'],39%,4.0 3.25 3.9,2022-07-18T17:58:38.120551,2022-07-18T17:58:38.120551,0.0
